,smiles,pH_range,logP
524,NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,1,-0.02
525,CN(C)S(=O)(=O)c1ccc(C(=O)OC2CCCCC2)cc1,0,4.27
526,CCN(CC)C(=O)[C@@]12CC[C@@](C)(C(=O)O1)C2(C)C,0,2.66
527,CCOC(=O)CSc1nnnn1-c1cccc2ccccc12,0,3.8
528,N#CC(C#N)=NNc1ccc(CCCl)cc1,1,3.58
529,CNc1ccc(-c2nc3ccc(C#N)cc3s2)cc1,1,2.5
530,N#CC(C#N)=NNc1ccc(C(=O)CCl)cc1,0,2.15
531,O=C(O)COc1ccc(Cl)cc1Cl,0,2.81
532,Cc1nc(=O)c(C#N)c(NCc2cccnc2)[nH]1,2,0.29
533,Cc1ccc(CCCOCCS(=O)(=O)CCCNCCc2ccc(O)c3[nH]c(=O)sc23)s1,1,2.41
534,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,0,3.95
535,O=C(NCCCNCCCNc1n[n+]([O-])c2ccccc2[n+]1[O-])c1cccc2cc3ccccc3nc12,1,0.88
536,NC(=O)CCC(NC(=O)C(N)Cc1ccccc1)C(=O)O,1,-1.03
537,CC(=O)C(NC(=O)C(N)Cc1c[nH]cn1)C(O)O,1,-2.23
538,C=CCOc1cccc([C@@H]2c3c(oc4ccccc4c3=O)C(=O)N2c2nnc(C)s2)c1,1,4.52
539,COc1ccc(N(C(=O)C2CCCCC2)S(=O)(=O)c2ccc3c4c(cccc24)C(=O)N3C)cc1,0,5.26
540,Cc1c(C(=O)Nc2ccc(S(=O)(=O)N3CCCCCC3)cc2)oc2ccc(F)cc12,0,5.68
541,Cc1cccc(C)c1NC(=O)CSc1nnnn1-c1ccc(OC(F)(F)F)cc1,0,4.82
542,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)O,1,-1.46
543,Cc1cccc(NC(=O)Cc2ccc(Br)cc2)c1C,0,4.05
544,NC(=O)CC(N)C(=O)NC(Cc1ccccc1)C(=O)O,1,-1.14
545,CCN=c1nc(OC)[nH]c(=NCC)[nH]1,0,1.82
546,O=C(OCn1c(=O)[nH]cc(F)c1=O)Oc1ccccc1,0,1.11
547,NS(=O)(=O)c1cc2c(s1)S(=O)(=O)CCC2=O,1,-0.04
548,CCN1CC(C(=O)C(CC2CCCCC2)NC(=O)C(Cc2c[nH]cn2)NC(=O)C(Cc2ccccc2)CC(O)N(C)CCO)OC1=O,1,1.94
549,Cc1cccc2cc3cccc(C(=O)NCCCN(C)CCCN=c4[nH][n+]([O-])c5ccccc5[n+]4[O-])c3nc12,1,2.28
550,C[C@@H]1CCCC[C@H]1NC(=O)COC(=O)C1=COCCO1,0,2.48
551,CCOC(=O)c1c[nH]c2c(c(C)nn2C)c1=Nc1ccc(F)cc1,1,0.7
552,N#Cc1nc(N2CCCC2)nc(N(c2ccccc2)c2ccccc2)n1,1,5.38
553,Cn1ncc(Cl)c1-c1nc(-c2no[nH]c2=N)no1,0,2.77
554,CCOC(=O)C(C)c1ccc2cc(OC)ccc2c1,1,4.51
555,COc1ccc(S(=O)(=O)N2CCCCCC2)cc1C(=O)OCC(=O)c1c(N)n(C)c(=O)n(C)c1=O,2,4.59
556,COC(=O)c1cccc(C)c1S(=O)(=O)NC(=O)N=c1nc(N(C)C)nc(OCC(F)(F)F)[nH]1,1,0.96
557,CC(C)CC(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCN=C(N)N)C(=O)O,2,-0.12
558,N#CC(C#N)=NNc1ccc(OC(F)(F)F)cc1,0,3.68
559,CCC(C)C(NC(=O)C([NH3+])CC(C)C)C(=O)NC(C(=O)[O-])C(C)O,1,-2.14
560,CC1=C(C)Cc2c(c(O)n(-c3cccc(Br)c3)c2O)C1,0,3.93
561,O=C(/C=C/c1ccccc1)Nc1cccc(NC(=O)c2cccc(Cl)c2)c1,0,5.53
562,Cc1ccc(NC(=O)c2ccc(S(=O)(=O)N3CCOCC3)cc2)c(C(=O)c2ccccc2)c1,0,4.54
563,CC(C)CC(NC(=O)C(N)CCCCN)C(=O)O,2,-0.26
564,CCN1CC(C(O)C(CC2CCCCC2)NC(=O)C(Cc2c[nH]cn2)NC(=O)C(Cc2ccc(OC)cc2)NC(=O)N2CCOCC2)OC1=O,1,2.01
565,CC(NC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)O,1,-1.98
566,COc1ccc(NC(=O)C(OC(=O)CNC(=O)c2ccc(C)s2)c2ccccc2)cc1Cl,0,4.54
567,CCOc1ccc(C[C@H]2c3cc(OCC)c(OCC)cc3CCN2C(=O)c2scnc2C)cc1OCC,0,4.98
568,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,2,-0.07
569,COc1ccc2cc(C(C)C(=O)OCC(=O)N(C)CCO)ccc2c1,1,2.01
570,COc1cnc(=NS(=O)(=O)c2ccc(N)cc2)[nH]c1,2,0.41
571,NS(=O)(=O)c1nc2ccccc2s1,1,1.33
572,CCSCCOC(=O)c1c(C)nc2c(c1=c1ccc(=C(O)OC)cc1)=C(O)C[C@@H](c1cccs1)C2,2,5.24
573,CC(C)CC(NC(=O)CC(O)C(CC(C)C)NC(=O)C(Cc1c[nH]cn1)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NC(Cc1cccc(CN)c1)C(=O)O,1,1.83
574,O=c1[nH]c2c(O)ccc(CCNCCCS(=O)(=O)CCNCCOc3ccccc3)c2s1,1,0.9
575,CC(C)C(NC(=O)C(Cc1c[nH]cn1)NC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)O,2,0.31
576,Cn1cccc/c1=N\S(=O)(=O)c1ccc(N)cc1,1,1.3
577,COc1ccc2c(c1)[nH]c(=NCCCNCCCN=c1[nH]c3cc(OC)ccc3n3cccc13)c1cccn12,1,2.76
578,Cc1ccc2nc(-c3ccc(N(C)C)cc3)sc2c1,1,3.8
579,CCN(CC)S(=O)(=O)N1CCCC(C(=O)NC2CCCCC2)C1,0,3.58
580,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,2,0.76
581,CCC(C)C(N)C(=O)N1CCCC1C(=O)[O-],1,-1.79
582,CCOc1ccc(NC(=O)CN(C)C(=O)c2ccc(C)o2)cc1OCC,2,2.09
583,O=C(CSc1nc2ccccc2s1)c1cccs1,0,4.04
584,CCC(C)C(N)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)O)C(C)C)C(C)C)C(C)CC,1,-1.41
585,CC(C)CC(NC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)O,1,-0.73
586,Cc1noc(C)c1N=C1CC(=O)C(=O)c2ccccc21,1,1.04
587,NC(=O)CC(N)C(=O)O,1,-3.41
588,O=C(NCCc1ccccc1)c1ccc(Cl)cc1,0,3.71
589,CCOC(=O)c1c(C)nc(SC[C@@]2(O)CCCC[C@@H]2SC)c(C#N)c1-c1ccccc1,0,6.01
590,Cc1cn(C2CC(N=[N+]=[N-])C(COP(=O)(OCCSC(=O)C(C)(C)C)Oc3ccc(CC(N)CO)cc3)O2)c(=O)[nH]c1=O,1,0.64
591,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,0,2.19
592,CCCCCCCCCCCC(=O)O,1,4.2
593,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)OCC(=O)N1[C@H](C)CCC[C@H]1C,0,4.38
594,CSc1scc(-c2cccs2)c1C#N,0,3.69
595,O=C(Cn1c(=O)n(-c2ccccc2)c(=O)n1CC(=O)N1CCCCC1)N1CCCCC1,0,2.78
596,COc1ccccc1NC(=O)C1C(C)=Nc2nc(SCc3ccccc3F)nn2C1c1ccncc1,1,4.66
597,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,0,4.44
598,O=C(CC=Nc1cccc(C(F)(F)F)c1)c1ccc(Br)cc1,0,5.65
599,N#CC(C#N)=NNc1ccc(Cl)cc1,1,3.39
600,CCCc1onc(C)c1N=C1CC(=O)C(=O)c2ccccc21,0,1.8
601,COc1cc([C@H]2c3c(C)n[nH]c3OC(=N)C2C#N)ccc1OCc1cccc(F)c1,2,4.42
602,O=C(O)/C=C/c1ccccc1,0,2.13
603,COc1ccc2cc(C(C)C(=O)O)ccc2c1,1,3.29
604,CCCCCCCCCCCCCC(=O)O,0,6.11
605,NC(=O)C(C(=O)/C=C/c1ccc(Cl)cc1)=C1SCS1,1,3.64
606,CCOC(=O)c1sc(=NCCN=c2[nH]c(C)c(C(=O)OCC)s2)[nH]c1C,2,4.66
607,O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl,0,4.8
608,O=C(NC[C@@H]1CCCO1)c1sc2ccccc2c1Cl,0,3.56
609,C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,0,2.92
610,N#CC(C#N)=NNc1ccccc1,0,2.64
611,CCOc1ccc(Br)cc1[C@H]1C2C(=O)CC(C)(C)CC2=Nc2ncnn21,1,3.85
612,COc1ccc(C(=O)OCC(=O)c2cc(C)n(C[C@@H]3CCCO3)c2C)c(OC)c1,0,4.18
613,Cc1ccc(-c2cc(C(F)F)n3ncc(C(=O)N4CCSCC4)c3n2)cc1,0,4.55
614,CCN(CC)CCOC(=O)c1ccc(N)cc1,1,1.92
615,O=C1C(c2cccc(Br)c2)N(CCC2=CCCCC2)C(=O)CN1C1CCCCC1,0,5.6
616,CC(C)C(C(=O)N=c1[nH]c(-c2ccc(S(=O)(=O)N3CCOCC3)cc2)cs1)N1C(=O)c2ccccc2C1=O,1,5.32
617,COC(=O)c1ccc(C)c(NC(=O)Cc2coc3cc4c(cc23)CCC4)c1,0,4.78
618,CCC(C)C(N)C(=O)NC(C(=O)O)C(C)CC,1,-1.82
619,CCOC(=O)n1c(=O)[nH]cc(F)c1=O,0,0.11
620,O=C1Nc2cc(C(=O)NC3CC3)ccc2S/C1=C\c1ccccc1,0,4.32
621,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,0,2.07
622,CCCC(=O)OC(C)OP(=O)(OCC)OCC,1,3.51
623,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,2,2.6
624,FC(F)(F)c1nc(-c2ccc(-c3noc(C(F)(F)F)n3)cc2)no1,0,6.06
625,CCOC(=O)c1c(NC(=O)C2C[C@H]3CC[C@@H]2C3)sc(C(=O)N(CC)CC)c1C,0,5.05
626,COCc1cc(OC(=O)N(C)C)nc(SCC(=O)C(C)(C)C)n1,0,3.33
627,CC(=O)c1ccc(C(C)(C)C)cc1NC(=O)c1ccccc1,0,5.13
628,N=c1[nH]c2nc3[nH]c(=N)sc3cc2s1,2,1.56
629,CCN1C(=O)c2cccc3c(S(=O)(=O)N(C(=O)c4cccnc4)c4ccc(OC)cc4)ccc1c23,1,4.74
630,Cc1ccccc1N[C@@H](c1ccccc1F)P(=O)(OC(C)C)OC(C)C,0,5.63
631,CC(C)CC(NC(=O)C(CC(C)C)NC(=O)C([NH3+])CO)C(=O)[O-],1,-2.03
632,CC(=O)N[C@H]1[C@@H](Oc2cccc3ccccc23)O[C@@H]2COC(C)(C)O[C@H]2[C@@H]1O,1,3.8
633,COc1cccc(NC(=O)C(OC(=O)C2=COCCO2)c2ccccc2)c1,0,3.81
634,C=CCn1c(SCC(=O)N2C[C@@]3(C)C[C@@H]2CC(C)(C)C3)nc2sc(CC)cc2c1=O,2,6.04
635,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)CC1C[C@H]3O,0,4.15
636,O=C(/C=C/c1ccccc1)Nc1ccc(N2CCN(C(=O)c3cccs3)CC2)cc1,1,4.94
637,N=C(N)N=c1[nH]c(CSCCC(=N)NS(N)(=O)=O)cs1,2,-0.56
638,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,1,-1.34
639,N#Cc1ccc(CCOCCCS(=O)(=O)CCNCCc2ccc(O)c3[nH]c(=O)sc23)cc1,1,2.0
640,N=c1[nH]c(=N)c2nc(-c3ccccc3)c(=N)[nH]c2[nH]1,1,0.98
641,CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,1,1.16
642,COc1ccc([C@@H]2CCCC[C@H]2O)cc1,0,2.85
643,CCC(CC)NC(=O)c1ccc(Cl)c(S(=O)(=O)N2CCCC2)c1,0,3.6
644,CC(=O)NS(=O)(=O)c1ccc(N)cc1,0,-0.96
645,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,1,2.56
646,COC(=O)c1ccc(C(=O)OC)c(NC(=O)CSc2ncnc3sc4c(c23)CC[C@@H](C)C4)c1,1,5.79
647,COc1cc(C(=O)c2ccc(F)cc2)cc(C(=O)c2ccc(F)cc2)c1,0,4.89
648,CC[C@@H]1CCCCN1C(=O)CSc1nc(C)cc(C)n1,2,3.61
649,Cc1ccc(NC(=O)CSc2nnc(Cc3ccccc3)o2)cc1Cl,0,4.85
650,COc1ccc(C(=O)CC=Nc2ccc(Cl)c(C(F)(F)F)c2)cc1OC,0,5.31
651,Cc1nn(C)cc1-c1cc(C(F)(F)F)n2nc(C(=O)N3C[C@H](C)O[C@H](C)C3)cc2n1,2,4.11
652,CCN=c1nc(SC)[nH]c(=NCC)[nH]1,0,2.54
653,COc1ccc(N2C(=S)N=C(N[C@@H]([C@@H](Oc3ccc(Cl)cc3)n3cncn3)C(C)(C)C)C2(C)C)cc1,1,5.56
654,CCOC(=O)c1c[nH]c2c(c(C)nn2-c2ccccc2)c1=Nc1ccc(O)c(CN(CC)CC)c1,1,2.05
655,O=[N+]([O-])c1cc(C2CCCCC2)c(O)c([N+](=O)[O-])c1,1,4.12
656,Cc1cc(C)n2nc(SCC(=O)NCCNC(=O)CSc3nc4nc(C)cc(C)n4n3)nc2n1,2,0.82
657,CSCCC(N)C(=O)NC(CC(C)C)C(=O)O,1,-1.84
658,COc1cc(/C=N\n2cnc3sc4c(c3c2=O)CCCC4)ccc1OCc1ccccc1,0,5.68
659,CCN(CC)C(=O)c1sc(NC(=O)c2cc(OC)cc(OC)c2)c(C(=O)OC)c1C,1,5.47
660,[NH3+]C(Cc1ccc(O)cc1)C(=O)NCC(=O)NC(Cc1ccccc1)C(=O)[O-],1,-1.86
661,NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,1,1.63
662,O=c1[nH]c2c(O)ccc(CCNCCCS(=O)(=O)NCCOCCc3ccc(F)cc3)c2s1,1,1.57
663,CCn1ccc(=NS(=O)(=O)c2ccc(N)cc2)[nH]c1=O,0,1.12
664,CN(C)c1ccc(-c2nc3ccc(O)cc3s2)cc1,1,2.0
665,NS(=O)(=O)c1cc2c(s1)SCCC2=O,1,0.74
666,CN(c1ccccn1)S(=O)(=O)c1ccc(N)cc1,1,1.3
667,Cc1cn(C2CC(N=[N+]=[N-])C(COC(=O)c3ccncc3)O2)c(=O)[nH]c1=O,0,0.83
668,O=c1[nH]c2c(O)ccc(CCNCCCNS(=O)(=O)CCOCc3cccc4ccccc34)c2s1,1,1.69
669,CCC(=O)n1c(=O)[nH]cc(F)c1=O,0,0.19
670,CCCCOc1ccc(C(=O)Oc2ccc3c(c2)OCO3)cc1OC,0,4.77
671,NC(Cc1ccc(O)c(O)c1)C(=O)O,1,-2.74
672,CC(Cc1ccccc1)OCCCS(=O)(=O)CCNCCc1ccc(O)c2[nH]c(=O)sc12,1,1.81
673,CN(C)CCCN1c2ccccc2Sc2ccccc21,1,4.55
674,C#CCOc1c(I)cc(C=C2C(=O)N(C)C(=S)N(C)C2=O)cc1OCC,0,3.72
675,CC(C)CC(NC(=O)C(Cc1ccc(O)cc1)NC(=O)C([NH3+])Cc1ccc(O)cc1)C(=O)[O-],1,-1.38
676,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,0,3.14
677,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(Cc1ccccc1)C(=O)O)C(C)C,1,-0.25
678,CCN=c1nc(Cl)[nH]c(=NCC)[nH]1,1,2.18
679,O=C1CCC=C2OC3=CCCC(=O)C3C(c3ccc(OCc4ccccc4F)cc3)C12,0,4.92
680,Cc1cc(C(=O)Cn2c(O)c3c(c2O)CC=CC3)c(C)n1Cc1ccc2c(c1)OCO2,0,4.38
681,CCOC(=O)N1CCN(c2nc(C(F)(F)F)nc3c(C)cc(C)cc23)CC1,2,5.92
682,COc1ccc([C@@H](C)n2c(C)c3c(C)nnc(C)c3c2C)cc1,2,3.43
683,NS(=O)(=O)c1cc2c(s1)SCCC2O,1,0.68
684,O=C(CSc1nnc(-c2ccccc2)n1-c1ccccc1)N1CCN(C(=O)c2ccccc2)CC1,2,4.64
685,CCC(C)C(N)C(=O)NC(CCSC)C(=O)NC(Cc1ccccc1)C(=O)O,1,1.28
686,CCC(C)c1ccc(O)c([N+](=O)[O-])c1,0,3.84
687,CCCCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O,0,3.9
688,COc1ccc2cc(C(C)C(=O)OCC(=O)N(CCO)CCO)ccc2c1,1,1.7
689,CCCCC(=O)OC1(C(=O)CO)[C@@H](C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,0,3.6
690,C[C@@H]1CCCCN1C(=O)CCCCC(=O)N1CCCC[C@H]1C,0,3.42
691,CC(C)N(Cc1nc(-c2ccccc2)no1)C(=O)c1ccccc1CCc1ccccc1,0,5.98
692,O=C(COc1nnc(SCC(=O)c2ccc3c(c2)OCCO3)n1C1Cc2ccccc2C1)c1ccc(F)cc1,1,5.47
693,CN(C)C(=O)Oc1ccc(CC(NC(=O)C2N(S(=O)(=O)c3cnn(C)c3)CSC2(C)C)C(=O)OCOC(=O)C(C)(C)C)cc1,0,3.14
694,NN=c1c(F)c(F)[nH]c(F)c1F,1,0.86
695,Cc1c(C)c(C)c(CSc2nnc(CC#N)n2C)c(C)c1C,1,4.14
696,CNC(=O)n1cc(F)c(=O)[nH]c1=O,0,-0.2
697,O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCNc3ccccc3)c2s1,1,1.98
698,CC[C@@H]1CCCCN1C(=O)COc1cccc2c1CCN(Cc1ccc(Cl)cc1)C2=O,1,5.23
699,COC[C@H](C)NC(=O)CCl,1,0.61
700,O=C1NC(=O)c2ccccc21,0,1.15
701,O=C(O)c1ccc[nH]c1=Nc1cccc(C(F)(F)F)c1,1,1.59
702,CCC(C)C([NH3+])C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(C(=O)[O-])C(C)C,1,-1.77
703,O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCc3nccc4ccccc34)c2s1,1,2.35
704,NC(CCC(=O)NC(Cc1ccccc1)C(=O)O)C(=O)O,1,-1.14
705,CN(CCCN=c1[nH][n+]([O-])c2ccccc2[n+]1[O-])CCCNC(=O)c1cccc2cccnc12,1,0.15
706,CN(CCO)C(=O)COC(=O)c1ccccc1O,1,0.86
707,CCn1c(=NC[C@@H](O)c2ccccc2)[nH]c2c1c(=O)n(C)c(=O)n2C,1,3.24
708,Oc1c(CSCc2ccccc2)[nH]c(=S)n1C1CCCCC1,0,4.58
709,Cc1cccc(Nc2ccccc2C(=O)O)c1C,1,5.12
710,COc1ccccc1[C@@H]1C=C2N=C(C)C(C(=O)OC3CCCC3)[C@@H](c3ccc(OC(C)=O)cc3)C2C(=O)C1,2,5.81
711,Cc1nc(-c2ccc(Cl)cc2)cs1,1,3.65
712,O=c1[nH]c2c(O)ccc(CCNCCNS(=O)(=O)CCOCCc3ccccc3)c2s1,1,1.56
713,CC(C)OCCCNC(=O)C(=O)NCc1ccc(C(C)C)cc1,0,4.57
714,COc1ccc2c(c1)O[C@](O)(C(F)(F)F)CC2=O,0,2.79
715,CCC(C)C(NC(=O)CNC(=O)C1CCCN1C(=O)C(N)Cc1ccc(O)cc1)C(=O)O,1,-1.65
716,CC[C@@H]1CCCCN1C(=O)C1CC(c2cc(Cl)c(OC)cc2OC)=NO1,2,4.55
717,Cc1nccn1S(=O)(=O)c1ccc(Cl)cc1,1,2.93
718,N=c1[nH]c(=N)[nH]c(=NC2CC2)[nH]1,1,-0.06
719,O=C(O)C(Cc1ccccc1)NC(=O)C1CCCN1,1,-2.07
720,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,1,2.8
721,CCCCNC(=O)Oc1cc(C=C(C#N)C(=O)N(CC)CC)cc([N+](=O)[O-])c1O,1,0.96
722,C[C@H]1CCCC[C@@H]1NC(=O)COc1ncnc2ccccc12,1,3.11
723,COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O,1,2.18
724,O=C(CSc1nc2ccccc2c(=O)n1-c1ccc(Cl)cc1)NC1CCCCC1,1,4.92
725,CCCOC(=O)n1c(-c2cscn2)nc2ccccc21,1,2.98
726,O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCc3ccc(NS(=O)(=O)c4ccccc4)cc3)c2s1,1,2.88
727,CC(C)NC(=S)N1CCN(S(=O)(=O)c2cccc(C(F)(F)F)c2)CC1,0,3.9
728,CCOC(=O)c1c[nH]c2c(c(C)nn2C)c1=Nc1ccccc1,1,0.96
729,CCCn1c(SCc2cc(=O)n3cc(Br)ccc3n2)nnc1-c1cccc(C)c1,1,4.43
730,CCC(C)CC1(CC)C(=O)NC(=O)NC1=O,0,2.1
731,CCCc1c2c(c(O)c3c(=O)cc(C(=O)O)oc13)CCCC2,0,4.4
732,N#Cc1nc2c(S(=O)(=O)c3ccccc3)c(N)n(Cc3ccc(F)cc3)c2nc1C#N,0,4.86
733,CC(=O)c1ccc(-c2ccc([C@H]3NC(=S)N=C(C)C3C(=O)OC(C)(C)C)o2)cc1,0,4.53
734,Cc1cc2c(cc1C)NC(c1cc3c(cc1Cl)OCO3)C1C(=O)CC(C)(C)CC1=N2,1,4.38
735,NC(Cc1ccc(O)c(O)c1)C(=O)OCc1ccccc1,1,1.06
736,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C(=O)O)C(C)C,1,-0.51
737,n1onc2c1NC1Nc3nonc3NC1N2,1,0.3
738,CCCCN1C(=O)c2ccc(C(=O)OCC(=O)N[C@H](C)C(C)C)cc2C1=O,0,3.62
739,CC(C)CC(NC(=O)C(N)CO)C(=O)O,1,-2.49
740,O=C(c1ccc(Cl)cc1)N(Cc1ccc(Cl)c(Cl)c1)n1c(O)c2c(c1O)CCCC2,1,5.51
741,CCOc1cc([C@H]2[C@@H]3CN(C(=O)OC(C)(C)C)CC=C3C(C#N)C(=N)C2(C#N)C#N)ccc1OC(C)C,0,5.83
742,CC(C)CC(NC(=O)CN)C(=O)O,1,-0.78
743,CCC(=O)N1N=C(c2ccc(C3=NN(C(=O)CC)[C@@H](c4cccc(OC)c4OC)C3)cc2)C[C@@H]1c1cccc(OC)c1OC,1,6.65
744,CC(C)=CC(=O)OCC(=O)Nc1ccc(S(=O)(=O)N(C)C)cc1,0,2.26
745,COc1cc2c(cc1OC)CN(C(=O)c1cccc(S(=O)(=O)N3CCCCC3)c1)CC2,0,4.2
746,NS(=O)(=O)c1cc2c(s1)C(=O)CCS2,1,0.91
747,CCOC(=O)C1=C(C)OC(=N)C(C#N)[C@H]1c1cccc(I)c1,0,4.48
748,CCCn1c2ccccc2c2nnc(SCC(=O)N[C@H](C)c3ccccc3)nc21,1,4.36
749,COC(=O)c1ccc(OC(=O)c2cc(OC)cc(OC)c2)cc1,0,4.64
750,O=c1[nH]c2c(O)ccc(CCNCCCS(=O)(=O)NCCOCCc3cccc(C(F)(F)F)c3)c2s1,1,2.62
751,CCC1(CC)C(=O)NC(=O)N(C)C1=O,2,1.15
752,COc1ccc(NC(=O)c2cc(NC(=O)c3ccccc3)cc(C(=O)Nc3ccc(OC)cc3)c2)cc1,0,5.59
753,CC/C=C(\C)C1(CC)C(=O)NC(=O)NC1=O,0,1.57
754,COc1ccc(OCCOS(=O)(=O)c2ccc(C)cc2)c(CN(C(C)=O)c2cc(F)ccc2Oc2ccccc2)c1,1,4.65
755,CC(C)CC(NC(=O)C(CC(C)C)NC(=O)CNC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)O,1,0.06
756,CCC(C)C(N)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(C(=O)NC(C(=O)O)C(C)C)C(C)CC,1,-1.09
757,CCCN(CCC)Cc1cccc(C(=O)OCCOCn2cnc3c(=O)[nH]c(=N)[nH]c32)c1,1,0.6
758,COc1ccc(O)c(CN(C(C)=O)c2cc(F)ccc2Oc2ccccc2)c1,1,2.78
759,Nc1ccc(S(=O)(=O)N=c2[nH]cccc2Cl)cc1,1,0.82
760,CCCCOC(=O)C(N)Cc1ccc(O)c(O)c1,1,0.86
761,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0,1.33
762,CC1CCCC(C)N1C(=O)CSc1nnc(-c2ccco2)n1Cc1ccccc1,1,4.49
763,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,1,0.91
764,CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(OC(C)=O)cc3)c(=O)n2C1c1cccs1,2,4.77
765,Oc1cccc2cccnc12,2,1.96
766,CC(C)C(N)C(=O)N1CCCC1C(=O)NCC(=O)NC(C(=O)O)C(C)C,1,-2.83
767,CC(=O)c1cccc(-n2c(O)c3c(c2O)[C@@H]2C=C[C@H]3C2=C(c2ccc(C)cc2)c2ccc(C)cc2)c1,0,6.25
768,NS(=O)(=O)c1nc2ccc(O)cc2s1,1,1.13
769,CCN(CC)C(=O)C(C#N)=Cc1cc(O)c(O)c([N+](=O)[O-])c1,1,2.25
770,CCOC(=O)c1[nH]c(=N)sc1C,2,1.74
771,O=C(O)c1cccc(C(=O)O)c1,0,1.66
772,COC(=O)c1cccc(C)c1S(=O)(=O)NC(=O)N=c1nc(N(C)C)nc(OCC(F)(F)F)[nH]1,0,0.96
773,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,0,1.98
774,COc1ccc([C@@H]2C(C(=O)OCCOC(C)C)=C(C)N=C3C[C@@H](c4cccs4)CC(=O)C32)cc1OC,2,4.45
775,CCCCCc1onc(C)c1N=C1CC(=O)C(=O)c2ccccc21,2,3.42
776,COc1ccc([C@@H]2C3=C(CCCC3=O)N(c3ccccc3C(F)(F)F)C(=N)C2C#N)cc1CSc1ccccn1,2,5.45
777,NC(Cc1ccccc1)C(=O)NCC(=O)O,1,-0.5
778,NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,1,-0.85
779,CC(C(=O)Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1)n1nc(C(F)(F)F)c(Cl)c1C1CC1,0,6.63
780,COc1cccc(NC(=O)CSc2nnc3ccccn23)c1,1,2.45
781,CCOc1cc(C(=O)Nc2ccc(OC)c(OC)c2)cc(OCC)c1OCC,0,4.11
782,CS(=O)(=O)N(CC(=O)Nc1c(F)cccc1F)c1cc(Cl)c(Cl)cc1Cl,1,4.34
783,CC(C)CC(NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C1CCCN1)C(=O)O,1,-1.06
