,smiles,pH,logP
216,CC(C)CC(N)C(=O)NC(CCCCN)C(=O)NC(Cc1ccccc1)C(=O)O,13.0,1.14
217,CC(C)CC(N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,7.0,-2.1
218,CC(C)CC(N)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,7.0,-1.94
219,CC(C)CC(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCN=C(N)N)C(=O)O,13.0,-0.12
220,CC(C)CC(N)C(=O)NC(Cc1ccccc1)C(=O)O,7.0,-1.15
221,CC(C)CC(N)C(=O)O.CC(N)C(=O)O,7.0,-0.54
222,CC(C)CC(NC(=O)C(CC(=O)O)NC(=O)C(N)Cc1ccccc1)C(=O)O,2.0,0.39
223,CC(C)CC(NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C1CCCN1)C(=O)O,7.0,-1.06
224,CC(C)CC(NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(C)N)C(C)C)C(=O)O,7.0,-1.74
225,CC(C)CC(NC(=O)C(CC(C)C)NC(=O)C([NH3+])CO)C(=O)[O-],7.0,-2.03
226,CC(C)CC(NC(=O)C(CC(C)C)NC(=O)C1CCC[NH2+]1)C(=O)[O-],7.0,-1.64
227,CC(C)CC(NC(=O)C(CC(C)C)NC(=O)CNC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)O,7.0,0.06
228,CC(C)CC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C([NH3+])Cc1c[nH]c2ccccc12)C(=O)[O-],7.0,0.36
229,CC(C)CC(NC(=O)C(Cc1c[nH]cn1)NC(=O)C(N)Cc1ccccc1)C(=O)O,10.0,0.64
230,CC(C)CC(NC(=O)C(Cc1ccc(O)cc1)NC(=O)C([NH3+])Cc1ccc(O)cc1)C(=O)[O-],7.0,-1.38
231,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O)C(=O)O,2.0,0.4
232,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CCCCN)C(=O)O,13.0,0.98
233,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CCCN=C(N)N)C(=O)O,13.0,-0.03
234,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)C(N)Cc1ccc(O)cc1)C(=O)O,7.0,-0.8
235,CC(C)CC(NC(=O)C(N)C(C)C)C(=O)O,7.0,-2.07
236,CC(C)CC(NC(=O)C(N)CCC(N)=O)C(=O)O,7.0,-1.32
237,CC(C)CC(NC(=O)C(N)CCCCN)C(=O)O,13.0,-0.26
238,CC(C)CC(NC(=O)C(N)CO)C(=O)O,7.0,-2.49
